Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2000","2000","1000 ha","2634","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2001","2001","1000 ha","2634","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2002","2002","1000 ha","2634","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2003","2003","1000 ha","2634","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2004","2004","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2005","2005","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2006","2006","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2007","2007","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2008","2008","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2009","2009","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2010","2010","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2011","2011","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2012","2012","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2013","2013","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2014","2014","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2015","2015","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2016","2016","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2017","2017","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2018","2018","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
