Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2000","2000","tonnes","4000","*","Unofficial figure"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2001","2001","tonnes","6000","*","Unofficial figure"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2002","2002","tonnes","7000","*","Unofficial figure"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2003","2003","tonnes","7000","","Official data"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2004","2004","tonnes","7500","","Official data"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2005","2005","tonnes","7000","*","Unofficial figure"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2006","2006","tonnes","12000","*","Unofficial figure"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2007","2007","tonnes","12000","*","Unofficial figure"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2008","2008","tonnes","16000","*","Unofficial figure"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2009","2009","tonnes","13678","","Official data"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2010","2010","tonnes","10195","","Official data"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2011","2011","tonnes","8329","","Official data"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2012","2012","tonnes","10000","*","Unofficial figure"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2013","2013","tonnes","11000","*","Unofficial figure"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2014","2014","tonnes","10000","*","Unofficial figure"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2015","2015","tonnes","5000","*","Unofficial figure"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2016","2016","tonnes","8536","Im","FAO data based on imputation methodology"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2017","2017","tonnes","9638","Im","FAO data based on imputation methodology"
"QD","Crops Processed","184","Rwanda","5510","Production","162","Sugar Raw Centrifugal","2018","2018","tonnes","10597","Im","FAO data based on imputation methodology"
