Prov_id,Province,District,Sector,Cell,Village
1,Kigali,Nyarugenge,Gitega,Akabahizi,Gihanga
1,Kigali,Nyarugenge,Gitega,Akabahizi,Iterambere
1,Kigali,Nyarugenge,Gitega,Akabahizi,Izuba
1,Kigali,Nyarugenge,Gitega,Akabahizi,Nyaburanga
1,Kigali,Nyarugenge,Gitega,Akabahizi,Nyenyeri
1,Kigali,Nyarugenge,Gitega,Akabahizi,Ubukorikori
1,Kigali,Nyarugenge,Gitega,Akabahizi,Ubumwe
1,Kigali,Nyarugenge,Gitega,Akabahizi,Ubwiyunge
1,Kigali,Nyarugenge,Gitega,Akabahizi,Umucyo
1,Kigali,Nyarugenge,Gitega,Akabahizi,Umurabyo
1,Kigali,Nyarugenge,Gitega,Akabahizi,Umuseke
1,Kigali,Nyarugenge,Gitega,Akabahizi,Vugizo
1,Kigali,Nyarugenge,Gitega,Akabeza,Akinyambo
1,Kigali,Nyarugenge,Gitega,Akabeza,Amayaga
1,Kigali,Nyarugenge,Gitega,Akabeza,Gitwa
1,Kigali,Nyarugenge,Gitega,Akabeza,Ituze
1,Kigali,Nyarugenge,Gitega,Akabeza,Mpazi
1,Kigali,Nyarugenge,Gitega,Gacyamo,Amahoro
1,Kigali,Nyarugenge,Gitega,Gacyamo,Impuhwe
1,Kigali,Nyarugenge,Gitega,Gacyamo,Intsinzi
1,Kigali,Nyarugenge,Gitega,Gacyamo,Kivumu
1,Kigali,Nyarugenge,Gitega,Gacyamo,Ubumwe
1,Kigali,Nyarugenge,Gitega,Gacyamo,Urukundo
1,Kigali,Nyarugenge,Gitega,Gacyamo,Ururembo
1,Kigali,Nyarugenge,Gitega,Kigarama,Ingenzi
1,Kigali,Nyarugenge,Gitega,Kigarama,Sangwa
1,Kigali,Nyarugenge,Gitega,Kigarama,Umubano
1,Kigali,Nyarugenge,Gitega,Kigarama,Umucyo
1,Kigali,Nyarugenge,Gitega,Kigarama,Umuhoza
1,Kigali,Nyarugenge,Gitega,Kigarama,Umurava
1,Kigali,Nyarugenge,Gitega,Kinyange,Akabugenewe
1,Kigali,Nyarugenge,Gitega,Kinyange,Ihuriro
1,Kigali,Nyarugenge,Gitega,Kinyange,Isangano
1,Kigali,Nyarugenge,Gitega,Kinyange,Isano
1,Kigali,Nyarugenge,Gitega,Kinyange,Karitasi
1,Kigali,Nyarugenge,Gitega,Kinyange,Ubumanzi
1,Kigali,Nyarugenge,Gitega,Kinyange,Uburezi
1,Kigali,Nyarugenge,Gitega,Kinyange,Ubwiza
1,Kigali,Nyarugenge,Gitega,Kinyange,Umucyo
1,Kigali,Nyarugenge,Gitega,Kinyange,Umwembe
1,Kigali,Nyarugenge,Gitega,Kinyange,Urugano
1,Kigali,Nyarugenge,Gitega,Kora,Isangano
1,Kigali,Nyarugenge,Gitega,Kora,Kanunga
1,Kigali,Nyarugenge,Gitega,Kora,Kinyambo
1,Kigali,Nyarugenge,Gitega,Kora,Kivumu
1,Kigali,Nyarugenge,Gitega,Kora,Kora
1,Kigali,Nyarugenge,Gitega,Kora,Mpazi
1,Kigali,Nyarugenge,Gitega,Kora,Rugano
1,Kigali,Nyarugenge,Gitega,Kora,Rugari
1,Kigali,Nyarugenge,Gitega,Kora,Ubumwe
1,Kigali,Nyarugenge,Kanyinya,Nyamweru,Bwimo
1,Kigali,Nyarugenge,Kanyinya,Nyamweru,Gatare
1,Kigali,Nyarugenge,Kanyinya,Nyamweru,Mubuga
1,Kigali,Nyarugenge,Kanyinya,Nyamweru,Nyakirambi
1,Kigali,Nyarugenge,Kanyinya,Nyamweru,Nyamweru
1,Kigali,Nyarugenge,Kanyinya,Nyamweru,Ruhengeri
1,Kigali,Nyarugenge,Kanyinya,Nzove,Bibungo
1,Kigali,Nyarugenge,Kanyinya,Nzove,Bwiza
1,Kigali,Nyarugenge,Kanyinya,Nzove,Gateko
1,Kigali,Nyarugenge,Kanyinya,Nzove,Kagasa
1,Kigali,Nyarugenge,Kanyinya,Nzove,Nyabihu
1,Kigali,Nyarugenge,Kanyinya,Nzove,Rutagara i
